resource, targetResource, nickname, instanceId, reportId, configId, collected, exit_status, exit_message, body, comparisonResult"tacc-alamo","	","openstack-clientStatus","7640740","7640739","7640721","2013-03-26T13:30:46.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7656530","7640739","7640721","2013-03-28T14:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7656847","7640739","7640721","2013-03-28T15:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7657171","7640739","7640721","2013-03-28T16:18:02.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7657492","7640739","7640721","2013-03-28T17:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7657818","7640739","7640721","2013-03-28T18:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7658137","7640739","7640721","2013-03-28T19:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7658448","7640739","7640721","2013-03-28T20:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7658766","7640739","7640721","2013-03-28T21:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7659088","7640739","7640721","2013-03-28T22:18:00.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7659400","7640739","7640721","2013-03-28T23:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7659723","7640739","7640721","2013-03-29T00:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7660046","7640739","7640721","2013-03-29T01:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7660374","7640739","7640721","2013-03-29T02:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7660688","7640739","7640721","2013-03-29T03:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7661004","7640739","7640721","2013-03-29T04:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7661316","7640739","7640721","2013-03-29T05:18:02.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7661634","7640739","7640721","2013-03-29T06:18:03.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7661951","7640739","7640721","2013-03-29T07:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7662275","7640739","7640721","2013-03-29T08:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7662598","7640739","7640721","2013-03-29T09:18:02.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7662914","7640739","7640721","2013-03-29T10:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7663228","7640739","7640721","2013-03-29T11:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7663553","7640739","7640721","2013-03-29T12:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7663870","7640739","7640721","2013-03-29T13:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7664185","7640739","7640721","2013-03-29T14:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7664497","7640739","7640721","2013-03-29T15:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7664822","7640739","7640721","2013-03-29T16:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7665138","7640739","7640721","2013-03-29T17:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7665464","7640739","7640721","2013-03-29T18:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7665784","7640739","7640721","2013-03-29T19:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7666094","7640739","7640721","2013-03-29T20:18:02.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7666416","7640739","7640721","2013-03-29T21:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7666743","7640739","7640721","2013-03-29T22:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7667049","7640739","7640721","2013-03-29T23:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7667367","7640739","7640721","2013-03-30T00:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7667690","7640739","7640721","2013-03-30T01:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7668019","7640739","7640721","2013-03-30T02:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7668333","7640739","7640721","2013-03-30T03:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7668661","7640739","7640721","2013-03-30T04:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7668973","7640739","7640721","2013-03-30T05:18:02.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7669290","7640739","7640721","2013-03-30T06:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7669605","7640739","7640721","2013-03-30T07:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7669926","7640739","7640721","2013-03-30T08:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7670250","7640739","7640721","2013-03-30T09:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7670564","7640739","7640721","2013-03-30T10:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7670878","7640739","7640721","2013-03-30T11:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7671175","7640739","7640721","2013-03-30T12:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7671470","7640739","7640721","2013-03-30T13:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7671772","7640739","7640721","2013-03-30T14:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7672077","7640739","7640721","2013-03-30T15:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7672385","7640739","7640721","2013-03-30T16:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7672709","7640739","7640721","2013-03-30T17:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7673039","7640739","7640721","2013-03-30T18:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7673351","7640739","7640721","2013-03-30T19:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7673661","7640739","7640721","2013-03-30T20:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7673991","7640739","7640721","2013-03-30T21:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7674315","7640739","7640721","2013-03-30T22:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7674627","7640739","7640721","2013-03-30T23:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7674949","7640739","7640721","2013-03-31T00:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7675270","7640739","7640721","2013-03-31T01:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7675601","7640739","7640721","2013-03-31T02:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7675915","7640739","7640721","2013-03-31T03:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7676239","7640739","7640721","2013-03-31T04:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7676552","7640739","7640721","2013-03-31T05:18:05.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7676857","7640739","7640721","2013-03-31T06:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7677175","7640739","7640721","2013-03-31T07:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7677497","7640739","7640721","2013-03-31T08:18:02.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7677816","7640739","7640721","2013-03-31T09:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7678128","7640739","7640721","2013-03-31T10:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7678439","7640739","7640721","2013-03-31T11:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7678763","7640739","7640721","2013-03-31T12:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7679077","7640739","7640721","2013-03-31T13:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7679395","7640739","7640721","2013-03-31T14:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7679708","7640739","7640721","2013-03-31T15:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7680030","7640739","7640721","2013-03-31T16:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7680347","7640739","7640721","2013-03-31T17:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7680672","7640739","7640721","2013-03-31T18:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7680990","7640739","7640721","2013-03-31T19:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7681302","7640739","7640721","2013-03-31T20:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7681622","7640739","7640721","2013-03-31T21:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7681948","7640739","7640721","2013-03-31T22:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7682259","7640739","7640721","2013-03-31T23:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7682578","7640739","7640721","2013-04-01T00:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7682897","7640739","7640721","2013-04-01T01:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7683224","7640739","7640721","2013-04-01T02:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7683538","7640739","7640721","2013-04-01T03:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7683869","7640739","7640721","2013-04-01T04:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7684185","7640739","7640721","2013-04-01T05:18:04.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7684502","7640739","7640721","2013-04-01T06:18:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7684821","7640739","7640721","2013-04-01T07:18:02.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7685148","7640739","7640721","2013-04-01T08:18:03.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-clientStatus","7685468","7640739","7640721","2013-04-01T09:18:05.000-04:00","Success","","search_output","Success"
