resource, targetResource, nickname, instanceId, reportId, configId, collected, exit_status, exit_message, body, comparisonResult"ucsd-sierra","	","test_batch_job","1665305","1665302","1665236","2010-11-19T01:23:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"ucsd-sierra","	","test_batch_job","1667002","1665734","1665236","2010-11-19T05:19:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"ucsd-sierra","	","test_batch_job","1667019","1665734","1665236","2010-11-19T05:21:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"ucsd-sierra","	","test_batch_job","1667036","1665302","1665236","2010-11-19T05:23:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"ucsd-sierra","	","test_batch_job","1667120","1665302","1665236","2010-11-19T05:34:02.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"ucsd-sierra","	","test_batch_job","1667133","1665302","1665236","2010-11-19T05:36:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"ucsd-sierra","	","test_batch_job","1667145","1665734","1665236","2010-11-19T05:38:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"ucsd-sierra","	","test_batch_job","1667226","1665734","1665236","2010-11-19T05:49:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"ucsd-sierra","	","test_batch_job","1667242","1665734","1665236","2010-11-19T05:51:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"ucsd-sierra","	","test_batch_job","1667258","1665302","1665236","2010-11-19T05:53:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"ucsd-sierra","	","test_batch_job","1667344","1665734","1665236","2010-11-19T06:04:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"ucsd-sierra","	","test_batch_job","1667356","1665302","1665236","2010-11-19T06:06:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"ucsd-sierra","	","test_batch_job","1667368","1665734","1665236","2010-11-19T06:08:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"ucsd-sierra","	","test_batch_job","1667449","1665734","1665236","2010-11-19T06:19:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"ucsd-sierra","	","test_batch_job","1667467","1665302","1665236","2010-11-19T06:21:02.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
