resource, targetResource, nickname, instanceId, reportId, configId, collected, exit_status, exit_message, body, comparisonResult"tacc-alamo","	","test_batch_job","1923026","1923025","1922806","2010-12-13T19:04:00.000-05:00","Failure","BATCH: Unable to submit reporter perl /home/inca/incaReporterManager/sub20276.pl: No such file or directory ","queuetime queuetime nodes 1 type elapsed TBD seconds","Failure:errorMessage errorMessage errorMessage"
"tacc-alamo","	","test_batch_job","1938446","1938445","1922806","2010-12-15T13:04:00.000-05:00","Failure","BATCH: Unable to submit reporter perl /home/inca/incaReporterManager/sub27724.pl: No such file or directory ","queuetime queuetime nodes 1 type elapsed TBD seconds","Failure:errorMessage errorMessage errorMessage"
"tacc-alamo","	","test_batch_job","1939174","1939173","1922806","2010-12-15T15:04:00.000-05:00","Failure","BATCH: Unable to submit reporter perl /home/inca/incaReporterManager/sub6242.pl: No such file or directory ","queuetime queuetime nodes 1 type elapsed TBD seconds","Failure:errorMessage errorMessage errorMessage"
"tacc-alamo","	","test_batch_job","1939909","1939908","1922806","2010-12-15T17:04:00.000-05:00","Failure","BATCH: Unable to submit reporter perl /home/inca/incaReporterManager/sub17237.pl: No such file or directory ","queuetime queuetime nodes 1 type elapsed TBD seconds","Failure:errorMessage errorMessage errorMessage"
"tacc-alamo","	","test_batch_job","1940644","1940643","1922806","2010-12-15T19:04:01.000-05:00","Failure","BATCH: Unable to submit reporter perl /home/inca/incaReporterManager/sub28099.pl: No such file or directory ","queuetime queuetime nodes 1 type elapsed TBD seconds","Failure:errorMessage errorMessage errorMessage"
"tacc-alamo","	","test_batch_job","1941369","1941368","1922806","2010-12-15T21:04:00.000-05:00","Failure","BATCH: Unable to submit reporter perl /home/inca/incaReporterManager/sub6635.pl: No such file or directory ","queuetime queuetime nodes 1 type elapsed TBD seconds","Failure:errorMessage errorMessage errorMessage"
"tacc-alamo","	","test_batch_job","1942102","1942101","1922806","2010-12-15T23:04:01.000-05:00","Failure","BATCH: Unable to submit reporter perl /home/inca/incaReporterManager/sub17660.pl: No such file or directory ","queuetime queuetime nodes 1 type elapsed TBD seconds","Failure:errorMessage errorMessage errorMessage"
"tacc-alamo","	","test_batch_job","1942830","1942829","1922806","2010-12-16T01:04:01.000-05:00","Failure","BATCH: Unable to submit reporter perl /home/inca/incaReporterManager/sub28658.pl: No such file or directory ","queuetime queuetime nodes 1 type elapsed TBD seconds","Failure:errorMessage errorMessage errorMessage"
"tacc-alamo","	","test_batch_job","1943560","1943559","1922806","2010-12-16T03:04:00.000-05:00","Failure","BATCH: Unable to submit reporter perl /home/inca/incaReporterManager/sub7187.pl: No such file or directory ","queuetime queuetime nodes 1 type elapsed TBD seconds","Failure:errorMessage errorMessage errorMessage"
"tacc-alamo","	","test_batch_job","1944998","1944997","1922806","2010-12-16T07:04:00.000-05:00","Failure","BATCH: Unable to submit reporter perl /home/inca/incaReporterManager/sub29043.pl: No such file or directory ","queuetime queuetime nodes 1 type elapsed TBD seconds","Failure:errorMessage errorMessage errorMessage"
"tacc-alamo","	","test_batch_job","1945725","1945724","1922806","2010-12-16T09:04:00.000-05:00","Failure","BATCH: Unable to submit reporter perl /home/inca/incaReporterManager/sub7622.pl: No such file or directory ","queuetime queuetime nodes 1 type elapsed TBD seconds","Failure:errorMessage errorMessage errorMessage"
