resource, targetResource, nickname, instanceId, reportId, configId, collected, exit_status, exit_message, body, comparisonResult"iu-india","	","openstack-create-publicvm","4198523","4198522","4198512","2011-10-14T18:15:54.000-04:00","Failure","Command 'sh nova novakey ami-00000028' failed with exit code 127","","Failure:errorMessage errorMessage errorMessage"
"iu-india","	","openstack-create-publicvm","4218693","4218692","4198579","2011-10-17T18:45:11.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.347494 s ping 30.003785 s ssh 30.185859 s destroy 0.460296 s","Success"
"iu-india","	","openstack-create-publicvm","4218729","4218728","4198579","2011-10-17T18:52:48.000-04:00","Failure","Can SSH into all VMs but  not able to externally connect from any of the 1 VMs","","Failure:errorMessage errorMessage errorMessage"
"iu-india","	","openstack-create-publicvm","4219526","4219525","4198579","2011-10-17T21:45:08.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.307178 s ping 30.003199 s ssh 30.210923 s destroy 0.456199 s","Success"
"iu-india","	","openstack-create-publicvm","4220362","4220361","4198579","2011-10-18T00:45:11.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.206794 s ping 30.003871 s ssh 30.232876 s destroy 0.533903 s","Success"
"iu-india","	","openstack-create-publicvm","4221183","4221182","4198579","2011-10-18T03:45:08.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.282241 s ping 30.003623 s ssh 30.224989 s destroy 0.468026 s","Success"
"iu-india","	","openstack-create-publicvm","4222010","4222009","4198579","2011-10-18T06:45:11.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.174507 s ping 30.003299 s ssh 30.174928 s destroy 0.465137 s","Success"
"iu-india","	","openstack-create-publicvm","4222860","4218728","4198579","2011-10-18T09:48:18.000-04:00","Failure","Can SSH into all VMs but  not able to externally connect from any of the 1 VMs","","Failure:errorMessage errorMessage errorMessage"
"iu-india","	","openstack-create-publicvm","4223695","4223694","4198579","2011-10-18T12:45:08.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.337764 s ping 30.005067 s ssh 30.183873 s destroy 0.439873 s","Success"
"iu-india","	","openstack-create-publicvm","4224527","4224526","4198579","2011-10-18T15:45:08.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.345675 s ping 30.00379 s ssh 30.18378 s destroy 0.52872 s","Success"
"iu-india","	","openstack-create-publicvm","4225375","4225374","4198579","2011-10-18T18:45:11.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.361049 s ping 30.003589 s ssh 30.184084 s destroy 0.477511 s","Success"
"iu-india","	","openstack-create-publicvm","4226300","4226299","4198579","2011-10-18T21:45:09.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.778852 s ping 30.004387 s ssh 30.237092 s destroy 0.463124 s","Success"
"iu-india","	","openstack-create-publicvm","4227139","4227138","4198579","2011-10-19T00:45:11.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.303231 s ping 30.004925 s ssh 30.19676 s destroy 0.446285 s","Success"
"iu-india","	","openstack-create-publicvm","4227973","4227972","4198579","2011-10-19T03:45:09.000-04:00","Success","","cloud-create cloudcreate img ami-00000028 create 66.452882 s ping 30.003115 s ssh 30.314929 s destroy 0.465828 s","Success"
