resource, targetResource, nickname, instanceId, reportId, configId, collected, exit_status, exit_message, body, comparisonResult"iu-india","	","eucalyptus-storage","1588970","1588969","1588960","2010-11-10T19:19:59.000-05:00","Failure","Not all expressions found in output: "c1.xlarge"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1598645","1590227","1590219","2010-11-11T21:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1599022","1590227","1590219","2010-11-11T22:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1599398","1590227","1590219","2010-11-11T23:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1599777","1590227","1590219","2010-11-12T00:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1600154","1590227","1590219","2010-11-12T01:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1600530","1590227","1590219","2010-11-12T02:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1600908","1590227","1590219","2010-11-12T03:02:02.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1601286","1590227","1590219","2010-11-12T04:02:03.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1601661","1590227","1590219","2010-11-12T05:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1602035","1590227","1590219","2010-11-12T06:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1602180","1590227","1590219","2010-11-12T07:02:03.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1602560","1590227","1590219","2010-11-12T08:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1602937","1590227","1590219","2010-11-12T09:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1603327","1590227","1590219","2010-11-12T10:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1603719","1590227","1590219","2010-11-12T11:02:02.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1604095","1590227","1590219","2010-11-12T12:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1604472","1590227","1590219","2010-11-12T13:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1604857","1590227","1590219","2010-11-12T14:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1605238","1590227","1590219","2010-11-12T15:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1605613","1590227","1590219","2010-11-12T16:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1605990","1590227","1590219","2010-11-12T17:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1606366","1590227","1590219","2010-11-12T18:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1606745","1590227","1590219","2010-11-12T19:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1607122","1590227","1590219","2010-11-12T20:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1607498","1590227","1590219","2010-11-12T21:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1607875","1590227","1590219","2010-11-12T22:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1608251","1590227","1590219","2010-11-12T23:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1608630","1590227","1590219","2010-11-13T00:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1609007","1590227","1590219","2010-11-13T01:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1609383","1590227","1590219","2010-11-13T02:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
"iu-india","	","eucalyptus-storage","1609761","1590227","1590219","2010-11-13T03:02:01.000-05:00","Failure","Not all expressions found in output: "kernel#ramdisk#IMAGE\s+\S+\s+fedora-image-bucket\S+\s+inca"","","Failure:errorMessage"
