resource, targetResource, nickname, instanceId, reportId, configId, collected, exit_status, exit_message, body, comparisonResult
"ucsd-sierra","	","eucalyptus-storage","4441396","3369008","3368924","2011-11-16T17:43:02.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4441671","3369008","3368924","2011-11-16T18:43:01.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4441957","3369008","3368924","2011-11-16T19:43:02.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4442239","3369008","3368924","2011-11-16T20:43:01.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4442522","3369008","3368924","2011-11-16T21:43:02.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4442811","3369008","3368924","2011-11-16T22:43:02.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4443091","3369008","3368924","2011-11-16T23:43:01.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4443368","3369008","3368924","2011-11-17T00:43:02.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4443650","3369008","3368924","2011-11-17T01:43:02.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4443929","3369008","3368924","2011-11-17T02:43:02.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4444218","3369008","3368924","2011-11-17T03:43:01.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4444510","3369008","3368924","2011-11-17T04:43:02.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4444793","3369008","3368924","2011-11-17T05:43:02.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4445077","3369008","3368924","2011-11-17T06:43:01.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4445362","3369008","3368924","2011-11-17T07:43:05.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4445637","3369008","3368924","2011-11-17T08:43:04.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4445910","3369008","3368924","2011-11-17T09:43:01.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4446190","3369008","3368924","2011-11-17T10:43:01.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4446471","3369008","3368924","2011-11-17T11:43:02.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4446750","3369008","3368924","2011-11-17T12:43:02.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4447033","3369008","3368924","2011-11-17T13:43:02.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4447307","3369008","3368924","2011-11-17T14:43:02.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4447579","3369008","3368924","2011-11-17T15:43:02.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4447866","3369008","3368924","2011-11-17T16:43:01.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4448147","3369008","3368924","2011-11-17T17:43:02.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4448419","3369008","3368924","2011-11-17T18:43:02.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4448691","3369008","3368924","2011-11-17T19:43:01.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4448968","3369008","3368924","2011-11-17T20:43:02.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4449243","3369008","3368924","2011-11-17T21:43:01.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4449522","3369008","3368924","2011-11-17T22:43:02.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4449801","3369008","3368924","2011-11-17T23:43:01.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4450077","3369008","3368924","2011-11-18T00:43:01.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4450357","3369008","3368924","2011-11-18T01:43:02.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4450646","3369008","3368924","2011-11-18T02:43:02.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4450935","3369008","3368924","2011-11-18T03:43:02.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4451225","3369008","3368924","2011-11-18T04:43:01.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4451500","3369008","3368924","2011-11-18T05:43:02.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4451779","3369008","3368924","2011-11-18T06:43:02.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4452065","3369008","3368924","2011-11-18T07:43:03.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4452342","3369008","3368924","2011-11-18T08:43:02.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4452620","3369008","3368924","2011-11-18T09:43:01.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4452908","3369008","3368924","2011-11-18T10:43:02.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4453188","3369008","3368924","2011-11-18T11:43:02.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4453466","3369008","3368924","2011-11-18T12:43:02.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4453745","3369008","3368924","2011-11-18T13:43:01.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4454020","3369008","3368924","2011-11-18T14:43:01.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4454297","3369008","3368924","2011-11-18T15:43:02.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4454583","3369008","3368924","2011-11-18T16:43:02.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4454864","3369008","3368924","2011-11-18T17:43:01.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4455139","3369008","3368924","2011-11-18T18:43:02.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4455429","3369008","3368924","2011-11-18T19:43:01.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4455706","3369008","3368924","2011-11-18T20:43:01.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4455985","3369008","3368924","2011-11-18T21:43:02.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4456274","3369008","3368924","2011-11-18T22:43:01.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4456550","3369008","3368924","2011-11-18T23:43:02.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4456827","3369008","3368924","2011-11-19T00:43:01.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4457106","3369008","3368924","2011-11-19T01:43:02.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4457387","3369008","3368924","2011-11-19T02:43:02.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4457671","3369008","3368924","2011-11-19T03:43:02.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4457960","3369008","3368924","2011-11-19T04:43:02.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4458243","3369008","3368924","2011-11-19T05:43:02.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4458527","3369008","3368924","2011-11-19T06:43:02.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4458814","3369008","3368924","2011-11-19T07:43:04.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4459091","3369008","3368924","2011-11-19T08:43:01.000-05:00","Success","","search_output","Success"
"ucsd-sierra","	","eucalyptus-storage","4459365","3369008","3368924","2011-11-19T09:43:01.000-05:00","Success","","search_output","Success"
