resource, targetResource, nickname, instanceId, reportId, configId, collected, exit_status, exit_message, body, comparisonResult"iu-xray","	","test_batch_job","1665328","1665327","1665242","2010-11-19T01:24:13.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 2 seconds","Success"
"iu-xray","	","test_batch_job","1667283","1665333","1665242","2010-11-19T05:56:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-xray","	","test_batch_job","1667387","1665327","1665242","2010-11-19T06:10:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 2 seconds","Success"
"iu-xray","	","test_batch_job","1667391","1665327","1665242","2010-11-19T06:11:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 2 seconds","Success"
"iu-xray","	","test_batch_job","1667498","1665327","1665242","2010-11-19T06:25:00.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 2 seconds","Success"
"iu-xray","	","test_batch_job","1667508","1665333","1665242","2010-11-19T06:26:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-xray","	","test_batch_job","1667605","1665333","1665242","2010-11-19T06:40:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-xray","	","test_batch_job","1667618","1665327","1665242","2010-11-19T06:41:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 2 seconds","Success"
"iu-xray","	","test_batch_job","1667719","1665327","1665242","2010-11-19T06:55:00.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 2 seconds","Success"
"iu-xray","	","test_batch_job","1667733","1665327","1665242","2010-11-19T06:56:00.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 2 seconds","Success"
"iu-xray","	","test_batch_job","1667828","1665327","1665242","2010-11-19T07:10:00.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 2 seconds","Success"
"iu-xray","	","test_batch_job","1667838","1665327","1665242","2010-11-19T07:11:00.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 2 seconds","Success"
"iu-xray","	","test_batch_job","1667837","1665333","1665242","2010-11-19T07:11:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-xray","	","test_batch_job","1667941","1665333","1665242","2010-11-19T07:25:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-xray","	","test_batch_job","1667950","1665333","1665242","2010-11-19T07:26:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-xray","	","test_batch_job","1668053","1665333","1665242","2010-11-19T07:40:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-xray","	","test_batch_job","1668063","1665333","1665242","2010-11-19T07:41:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-xray","	","test_batch_job","1668162","1665333","1665242","2010-11-19T07:55:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-xray","	","test_batch_job","1668171","1665333","1665242","2010-11-19T07:56:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-xray","	","test_batch_job","1668273","1665333","1665242","2010-11-19T08:10:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-xray","	","test_batch_job","1668282","1665333","1665242","2010-11-19T08:11:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-xray","	","test_batch_job","1668391","1665327","1665242","2010-11-19T08:25:00.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 2 seconds","Success"
"iu-xray","	","test_batch_job","1668400","1665333","1665242","2010-11-19T08:26:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-xray","	","test_batch_job","1668501","1665333","1665242","2010-11-19T08:40:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-xray","	","test_batch_job","1668510","1665333","1665242","2010-11-19T08:41:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-xray","	","test_batch_job","1668610","1665327","1665242","2010-11-19T08:55:00.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 2 seconds","Success"
"iu-xray","	","test_batch_job","1668621","1665333","1665242","2010-11-19T08:56:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-xray","	","test_batch_job","1668722","1665327","1665242","2010-11-19T09:10:00.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 2 seconds","Success"
"iu-xray","	","test_batch_job","1668732","1665333","1665242","2010-11-19T09:11:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-xray","	","test_batch_job","1669921","1669920","1665242","2010-11-19T09:25:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 8636 seconds","Success"
"iu-xray","	","test_batch_job","1669930","1669916","1665242","2010-11-19T09:26:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 8577 seconds","Success"
"iu-xray","	","test_batch_job","1668911","1668910","1665242","2010-11-19T09:40:01.000-05:00","Success","BATCH: too many jobs in queue (max=5)","","Success"
"iu-xray","	","test_batch_job","1668922","1668910","1665242","2010-11-19T09:41:01.000-05:00","Success","BATCH: too many jobs in queue (max=5)","","Success"
"iu-xray","	","test_batch_job","1669021","1668910","1665242","2010-11-19T09:55:01.000-05:00","Success","BATCH: too many jobs in queue (max=5)","","Success"
"iu-xray","	","test_batch_job","1669032","1668910","1665242","2010-11-19T09:56:01.000-05:00","Success","BATCH: too many jobs in queue (max=5)","","Success"
"iu-xray","	","test_batch_job","1669135","1668910","1665242","2010-11-19T10:10:01.000-05:00","Success","BATCH: too many jobs in queue (max=5)","","Success"
"iu-xray","	","test_batch_job","1669145","1668910","1665242","2010-11-19T10:11:01.000-05:00","Success","BATCH: too many jobs in queue (max=5)","","Success"
"iu-xray","	","test_batch_job","1669245","1668910","1665242","2010-11-19T10:25:01.000-05:00","Success","BATCH: too many jobs in queue (max=5)","","Success"
"iu-xray","	","test_batch_job","1669255","1668910","1665242","2010-11-19T10:26:01.000-05:00","Success","BATCH: too many jobs in queue (max=5)","","Success"
"iu-xray","	","test_batch_job","1669356","1668910","1665242","2010-11-19T10:40:01.000-05:00","Success","BATCH: too many jobs in queue (max=5)","","Success"
"iu-xray","	","test_batch_job","1669366","1668910","1665242","2010-11-19T10:41:01.000-05:00","Success","BATCH: too many jobs in queue (max=5)","","Success"
"iu-xray","	","test_batch_job","1669470","1668910","1665242","2010-11-19T10:55:01.000-05:00","Success","BATCH: too many jobs in queue (max=5)","","Success"
"iu-xray","	","test_batch_job","1669481","1668910","1665242","2010-11-19T10:56:01.000-05:00","Success","BATCH: too many jobs in queue (max=5)","","Success"
"iu-xray","	","test_batch_job","1669584","1668910","1665242","2010-11-19T11:10:01.000-05:00","Success","BATCH: too many jobs in queue (max=5)","","Success"
"iu-xray","	","test_batch_job","1669593","1668910","1665242","2010-11-19T11:11:01.000-05:00","Success","BATCH: too many jobs in queue (max=5)","","Success"
"iu-xray","	","test_batch_job","1669694","1668910","1665242","2010-11-19T11:25:01.000-05:00","Success","BATCH: too many jobs in queue (max=5)","","Success"
"iu-xray","	","test_batch_job","1669704","1668910","1665242","2010-11-19T11:26:01.000-05:00","Success","BATCH: too many jobs in queue (max=5)","","Success"
"iu-xray","	","test_batch_job","1669807","1668910","1665242","2010-11-19T11:40:00.000-05:00","Success","BATCH: too many jobs in queue (max=5)","","Success"
"iu-xray","	","test_batch_job","1669817","1668910","1665242","2010-11-19T11:41:00.000-05:00","Success","BATCH: too many jobs in queue (max=5)","","Success"
"iu-xray","	","test_batch_job","1669975","1665327","1665242","2010-11-19T11:55:00.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 2 seconds","Success"
"iu-xray","	","test_batch_job","1669985","1665327","1665242","2010-11-19T11:56:00.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 2 seconds","Success"
"iu-xray","	","test_batch_job","1670091","1665333","1665242","2010-11-19T12:10:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-xray","	","test_batch_job","1670100","1665333","1665242","2010-11-19T12:11:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-xray","	","test_batch_job","1670208","1665333","1665242","2010-11-19T12:25:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-xray","	","test_batch_job","1670217","1665333","1665242","2010-11-19T12:26:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-xray","	","test_batch_job","1670314","1665333","1665242","2010-11-19T12:40:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-xray","	","test_batch_job","1670325","1665333","1665242","2010-11-19T12:41:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-xray","	","test_batch_job","1670429","1665333","1665242","2010-11-19T12:55:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-xray","	","test_batch_job","1670440","1665333","1665242","2010-11-19T12:56:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-xray","	","test_batch_job","1670536","1665327","1665242","2010-11-19T13:10:00.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 2 seconds","Success"
"iu-xray","	","test_batch_job","1670546","1665327","1665242","2010-11-19T13:11:00.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 2 seconds","Success"
"iu-xray","	","test_batch_job","1670651","1665333","1665242","2010-11-19T13:25:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-xray","	","test_batch_job","1670660","1665333","1665242","2010-11-19T13:26:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-xray","	","test_batch_job","1670759","1665333","1665242","2010-11-19T13:40:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-xray","	","test_batch_job","1670769","1665333","1665242","2010-11-19T13:41:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-xray","	","test_batch_job","1670871","1665333","1665242","2010-11-19T13:55:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-xray","	","test_batch_job","1670880","1665333","1665242","2010-11-19T13:56:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-xray","	","test_batch_job","1670977","1665333","1665242","2010-11-19T14:10:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-xray","	","test_batch_job","1670988","1665333","1665242","2010-11-19T14:11:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-xray","	","test_batch_job","1671092","1665333","1665242","2010-11-19T14:25:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-xray","	","test_batch_job","1671108","1671107","1665242","2010-11-19T14:26:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 3 seconds","Success"
"iu-xray","	","test_batch_job","1671204","1665333","1665242","2010-11-19T14:40:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-xray","	","test_batch_job","1671215","1665333","1665242","2010-11-19T14:41:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-xray","	","test_batch_job","1671324","1665333","1665242","2010-11-19T14:55:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-xray","	","test_batch_job","1671325","1665333","1665242","2010-11-19T14:56:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-xray","	","test_batch_job","1671428","1665327","1665242","2010-11-19T15:10:00.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 2 seconds","Success"
"iu-xray","	","test_batch_job","1671439","1665333","1665242","2010-11-19T15:11:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-xray","	","test_batch_job","1671534","1665327","1665242","2010-11-19T15:25:00.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 2 seconds","Success"
