resource, targetResource, nickname, instanceId, reportId, configId, collected, exit_status, exit_message, body, comparisonResult
"iu-india","	","eucalyptus-create-publicvm","3229444","3229443","3140366","2011-05-11T08:16:06.000-04:00","Failure","DOWNTIME:1069: cloud client not in running status after 900 seconds: RESERVATION	r-585C091C	inca	default
INSTANCE	i-47FA08B5	emi-38FD1610	149.165.159.133	10.0.2.66	terminated 	userkey 	0 	c1.medium 	2011-05-11T12:00:58.437Z 	india 	eki-78EF12D2 	eri-5BB61255
    ","","Failure:errorMessage errorMessage errorMessage""iu-india","	","eucalyptus-create-publicvm","3235856","3235855","3140366","2011-05-12T08:07:03.000-04:00","Success","","cloud-create cloudcreate img emi-38FD1610 -t c1.medium create 302.291603 s ping 0.001625 s ssh 0.140766 s destroy 0.157024 s","Success"
"iu-india","	","eucalyptus-create-publicvm","3242299","3242297","3140366","2011-05-13T08:07:03.000-04:00","Success","","cloud-create cloudcreate img emi-38FD1610 -t c1.medium create 302.524245 s ping 0.0015 s ssh 0.142659 s destroy 0.18847 s","Success"
"iu-india","	","eucalyptus-create-publicvm","3248763","3248762","3140366","2011-05-14T08:07:34.000-04:00","Success","","cloud-create cloudcreate img emi-38FD1610 -t c1.medium create 332.601592 s ping 0.001894 s ssh 0.16355 s destroy 0.213887 s","Success"
"iu-india","	","eucalyptus-create-publicvm","3255256","3255255","3140366","2011-05-15T08:07:03.000-04:00","Success","","cloud-create cloudcreate img emi-38FD1610 -t c1.medium create 302.540866 s ping 0.001593 s ssh 0.142059 s destroy 0.202895 s","Success"
"iu-india","	","eucalyptus-create-publicvm","3261742","3261741","3140366","2011-05-16T08:07:04.000-04:00","Success","","cloud-create cloudcreate img emi-38FD1610 -t c1.medium create 302.692289 s ping 0.033513 s ssh 0.288001 s destroy 0.166055 s","Success"
"iu-india","	","eucalyptus-create-publicvm","3275846","3275845","3140366","2011-05-19T08:22:34.000-04:00","Failure","cloud client reports machine is running but machine is not pingable after 900 seconds: PING 149.165.159.120 (149.165.159.120) 56(84) bytes of data.

--- 149.165.159.120 ping statistics ---
1 packets transmitted, 0 received, 100% packet loss, time 0ms

    ","","Failure:errorMessage errorMessage errorMessage"
"iu-india","	","eucalyptus-create-publicvm","3276698","3276697","3140366","2011-05-19T11:47:27.000-04:00","Failure","cloud client reports machine is running but machine is not pingable after 900 seconds: PING 149.165.159.103 (149.165.159.103) 56(84) bytes of data.

--- 149.165.159.103 ping statistics ---
1 packets transmitted, 0 received, 100% packet loss, time 0ms

    ","","Failure:errorMessage errorMessage errorMessage"
"iu-india","	","eucalyptus-create-publicvm","3281821","3281820","3140366","2011-05-20T08:23:04.000-04:00","Failure","cloud client reports machine is running but machine is not pingable after 900 seconds: PING 149.165.159.107 (149.165.159.107) 56(84) bytes of data.

--- 149.165.159.107 ping statistics ---
1 packets transmitted, 0 received, 100% packet loss, time 0ms

    ","","Failure:errorMessage errorMessage errorMessage"
"iu-india","	","eucalyptus-create-publicvm","3284647","3284646","3284479","2011-05-20T19:11:25.000-04:00","Failure","cloud client reports machine is running but machine is not pingable after 900 seconds: PING 149.165.159.111 (149.165.159.111) 56(84) bytes of data.

--- 149.165.159.111 ping statistics ---
1 packets transmitted, 0 received, 100% packet loss, time 0ms

    ","","Failure:errorMessage errorMessage errorMessage"
"iu-india","	","eucalyptus-create-publicvm","3287498","3287497","3284479","2011-05-21T05:29:34.000-04:00","Failure","cloud client reports machine is running but machine is not pingable after 900 seconds: PING 149.165.159.112 (149.165.159.112) 56(84) bytes of data.

--- 149.165.159.112 ping statistics ---
1 packets transmitted, 0 received, 100% packet loss, time 0ms

    ","","Failure:errorMessage errorMessage errorMessage"
"iu-india","	","eucalyptus-create-publicvm","3296503","3296502","3284479","2011-05-22T05:28:34.000-04:00","Failure","cloud client reports machine is running but machine is not pingable after 900 seconds: PING 149.165.159.102 (149.165.159.102) 56(84) bytes of data.

--- 149.165.159.102 ping statistics ---
1 packets transmitted, 0 received, 100% packet loss, time 0ms

    ","","Failure:errorMessage errorMessage errorMessage"
