resource, targetResource, nickname, instanceId, reportId, configId, collected, exit_status, exit_message, body, comparisonResult"iu-india","	","test_batch_job","1665309","1665306","1665240","2010-11-19T01:23:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-india","	","test_batch_job","1666704","1665323","1665240","2010-11-19T04:38:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"iu-india","	","test_batch_job","1666738","1665306","1665240","2010-11-19T04:42:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-india","	","test_batch_job","1666746","1665323","1665240","2010-11-19T04:43:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"iu-india","	","test_batch_job","1666819","1665323","1665240","2010-11-19T04:53:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"iu-india","	","test_batch_job","1666845","1665306","1665240","2010-11-19T04:57:00.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-india","	","test_batch_job","1666850","1665323","1665240","2010-11-19T04:58:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"iu-india","	","test_batch_job","1666922","1665323","1665240","2010-11-19T05:08:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"iu-india","	","test_batch_job","1666956","1665323","1665240","2010-11-19T05:12:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"iu-india","	","test_batch_job","1666964","1665323","1665240","2010-11-19T05:13:00.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"iu-india","	","test_batch_job","1667038","1665306","1665240","2010-11-19T05:23:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-india","	","test_batch_job","1667065","1665306","1665240","2010-11-19T05:27:00.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-india","	","test_batch_job","1667070","1665306","1665240","2010-11-19T05:28:00.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-india","	","test_batch_job","1667143","1665306","1665240","2010-11-19T05:38:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-india","	","test_batch_job","1667178","1665306","1665240","2010-11-19T05:42:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-india","	","test_batch_job","1667186","1665323","1665240","2010-11-19T05:43:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"iu-india","	","test_batch_job","1667260","1665306","1665240","2010-11-19T05:53:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-india","	","test_batch_job","1667290","1665306","1665240","2010-11-19T05:57:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-india","	","test_batch_job","1667295","1665323","1665240","2010-11-19T05:58:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"iu-india","	","test_batch_job","1667366","1665323","1665240","2010-11-19T06:08:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"iu-india","	","test_batch_job","1667400","1665323","1665240","2010-11-19T06:12:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"iu-india","	","test_batch_job","1667408","1665306","1665240","2010-11-19T06:13:00.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-india","	","test_batch_job","1667484","1665323","1665240","2010-11-19T06:23:01.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 0 seconds","Success"
"iu-india","	","test_batch_job","1667514","1665306","1665240","2010-11-19T06:27:00.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-india","	","test_batch_job","1667519","1665306","1665240","2010-11-19T06:28:00.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
"iu-india","	","test_batch_job","1667591","1665306","1665240","2010-11-19T06:38:00.000-05:00","Success","","queuetime queuetime nodes 1 type elapsed 1 seconds","Success"
