resource, targetResource, nickname, instanceId, reportId, configId, collected, exit_status, exit_message, body, comparisonResult
"inca","tacc-alamo","nimbus-storage","5317861","5306362","5302294","2012-04-14T08:56:04.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5318210","5306362","5302294","2012-04-14T09:56:04.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5318563","5306362","5302294","2012-04-14T10:56:05.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5318902","5306362","5302294","2012-04-14T11:56:04.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5319248","5306362","5302294","2012-04-14T12:56:04.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5319589","5306362","5302294","2012-04-14T13:56:04.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5319937","5306362","5302294","2012-04-14T14:56:05.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5320281","5306362","5302294","2012-04-14T15:56:04.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5320631","5306362","5302294","2012-04-14T16:56:04.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5320970","5306362","5302294","2012-04-14T17:56:04.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5321320","5306362","5302294","2012-04-14T18:56:04.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5321653","5306362","5302294","2012-04-14T19:56:04.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5321987","5306362","5302294","2012-04-14T20:56:04.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5322320","5306362","5302294","2012-04-14T21:56:04.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5322664","5306362","5302294","2012-04-14T22:56:04.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5322987","5306362","5302294","2012-04-14T23:56:05.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5323325","5306362","5302294","2012-04-15T00:56:04.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5323664","5306362","5302294","2012-04-15T01:56:04.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5323992","5306362","5302294","2012-04-15T02:56:04.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5324329","5306362","5302294","2012-04-15T03:59:04.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5324650","5306362","5302294","2012-04-15T04:56:04.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5324967","5306362","5302294","2012-04-15T05:56:04.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5325297","5306362","5302294","2012-04-15T06:56:04.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5325619","5306362","5302294","2012-04-15T07:56:04.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5325951","5306362","5302294","2012-04-15T08:56:04.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5326272","5306362","5302294","2012-04-15T09:56:04.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5326605","5306362","5302294","2012-04-15T10:56:04.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5326923","5306362","5302294","2012-04-15T11:56:04.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5327248","5306362","5302294","2012-04-15T12:56:04.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5327570","5306362","5302294","2012-04-15T13:56:04.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5327893","5306362","5302294","2012-04-15T14:56:03.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5328211","5306362","5302294","2012-04-15T15:56:03.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5328534","5306362","5302294","2012-04-15T16:56:04.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5328844","5306362","5302294","2012-04-15T17:56:04.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5329166","5306362","5302294","2012-04-15T18:56:04.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5329491","5306362","5302294","2012-04-15T19:56:03.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5329819","5306362","5302294","2012-04-15T20:56:04.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5330146","5306362","5302294","2012-04-15T21:56:04.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5330480","5306362","5302294","2012-04-15T22:56:04.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5330791","5306362","5302294","2012-04-15T23:56:04.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5331115","5306362","5302294","2012-04-16T00:56:04.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5331437","5306362","5302294","2012-04-16T01:56:04.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5331772","5306362","5302294","2012-04-16T02:56:04.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5332104","5306362","5302294","2012-04-16T03:59:05.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5332425","5306362","5302294","2012-04-16T04:56:04.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5332736","5306362","5302294","2012-04-16T05:56:04.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5333058","5306362","5302294","2012-04-16T06:56:03.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5333378","5306362","5302294","2012-04-16T07:56:04.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5333703","5306362","5302294","2012-04-16T08:56:03.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5334025","5306362","5302294","2012-04-16T09:56:04.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5334378","5306362","5302294","2012-04-16T10:56:04.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5334716","5306362","5302294","2012-04-16T11:56:05.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5335050","5306362","5302294","2012-04-16T12:56:04.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5335382","5306362","5302294","2012-04-16T13:56:04.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5335731","5306362","5302294","2012-04-16T14:56:05.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5336065","5306362","5302294","2012-04-16T15:56:04.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5336412","5306362","5302294","2012-04-16T16:56:05.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5336749","5306362","5302294","2012-04-16T17:56:04.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5337435","5306362","5302294","2012-04-16T19:56:04.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5337780","5306362","5302294","2012-04-16T20:56:07.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5338123","5306362","5302294","2012-04-16T21:56:09.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5338473","5306362","5302294","2012-04-16T22:56:10.000-04:00","Success","","search_output","Success"
"inca","tacc-alamo","nimbus-storage","5338813","5306362","5302294","2012-04-16T23:56:05.000-04:00","Success","","search_output","Success"
