resource, targetResource, nickname, instanceId, reportId, configId, collected, exit_status, exit_message, body, comparisonResult
"ucsd-sierra","	","eucalyptus-create-publicvm","3174149","3144464","3140368","2011-05-02T13:34:21.000-04:00","Failure","cloud client reports machine is running but machine is not pingable after 900 seconds: PING 198.202.120.187 (198.202.120.187) 56(84) bytes of data.
From 198.202.120.7 icmp_seq=1 Destination Host Unreachable

--- 198.202.120.187 ping statistics ---
1 packets transmitted, 0 received, +1 errors, 100% packet loss, time 0ms

    ","","Failure:errorMessage errorMessage errorMessage"
"ucsd-sierra","	","eucalyptus-create-publicvm","3178673","3178672","3140368","2011-05-03T07:34:58.000-04:00","Failure","cloud client not in running status after 900 seconds: RESERVATION	r-5A4C09E7	inca	default
INSTANCE	i-4ABF0773	emi-FF7D1540	198.202.120.187	10.0.5.3	terminated 	userkey 	0 	c1.medium 	2011-05-03T11:22:07.598Z 	sierra 	eki-847612FB 	eri-6743128E
    ","","Failure:errorMessage errorMessage errorMessage"
"ucsd-sierra","	","eucalyptus-create-publicvm","3184962","3184961","3140368","2011-05-04T07:23:09.000-04:00","Failure","Command 'euca-run-instances  -k userkey -n 1 emi-FF7D1540 -t c1.medium' failed: [Errno 111] Connection refused
    ","","Failure:errorMessage errorMessage errorMessage"
"ucsd-sierra","	","eucalyptus-create-publicvm","3191278","3184961","3140368","2011-05-05T07:23:10.000-04:00","Failure","Command 'euca-run-instances  -k userkey -n 1 emi-FF7D1540 -t c1.medium' failed: [Errno 111] Connection refused
    ","","Failure:errorMessage errorMessage errorMessage"
"ucsd-sierra","	","eucalyptus-create-publicvm","3197677","3197676","3140368","2011-05-06T07:22:07.000-04:00","Failure","Command 'euca-run-instances  -k userkey -n 1 emi-FF7D1540 -t c1.medium' failed: KeyPairVerify: Failed to find key pair: userkey for user incaError locating information for [SshKeyPair uniqueName=incauserkey publicKey=null fingerPrint=null userName=inca displayName=userkey id=null version=0 lastUpdate=null]
    ","","Failure:errorMessage errorMessage errorMessage"
"ucsd-sierra","	","eucalyptus-create-publicvm","3203995","3197676","3140368","2011-05-07T07:22:03.000-04:00","Failure","Command 'euca-run-instances  -k userkey -n 1 emi-FF7D1540 -t c1.medium' failed: KeyPairVerify: Failed to find key pair: userkey for user incaError locating information for [SshKeyPair uniqueName=incauserkey publicKey=null fingerPrint=null userName=inca displayName=userkey id=null version=0 lastUpdate=null]
    ","","Failure:errorMessage errorMessage errorMessage"
"ucsd-sierra","	","eucalyptus-create-publicvm","3210251","3197676","3140368","2011-05-08T07:22:06.000-04:00","Failure","Command 'euca-run-instances  -k userkey -n 1 emi-FF7D1540 -t c1.medium' failed: KeyPairVerify: Failed to find key pair: userkey for user incaError locating information for [SshKeyPair uniqueName=incauserkey publicKey=null fingerPrint=null userName=inca displayName=userkey id=null version=0 lastUpdate=null]
    ","","Failure:errorMessage errorMessage errorMessage"
"ucsd-sierra","	","eucalyptus-create-publicvm","3216471","3197676","3140368","2011-05-09T07:22:07.000-04:00","Failure","Command 'euca-run-instances  -k userkey -n 1 emi-FF7D1540 -t c1.medium' failed: KeyPairVerify: Failed to find key pair: userkey for user incaError locating information for [SshKeyPair uniqueName=incauserkey publicKey=null fingerPrint=null userName=inca displayName=userkey id=null version=0 lastUpdate=null]
    ","","Failure:errorMessage errorMessage errorMessage"
"ucsd-sierra","	","eucalyptus-create-publicvm","3222735","3197676","3140368","2011-05-10T07:22:07.000-04:00","Failure","Command 'euca-run-instances  -k userkey -n 1 emi-FF7D1540 -t c1.medium' failed: KeyPairVerify: Failed to find key pair: userkey for user incaError locating information for [SshKeyPair uniqueName=incauserkey publicKey=null fingerPrint=null userName=inca displayName=userkey id=null version=0 lastUpdate=null]
    ","","Failure:errorMessage errorMessage errorMessage"
"ucsd-sierra","	","eucalyptus-create-publicvm","3229205","3197676","3140368","2011-05-11T07:22:07.000-04:00","Failure","Command 'euca-run-instances  -k userkey -n 1 emi-FF7D1540 -t c1.medium' failed: KeyPairVerify: Failed to find key pair: userkey for user incaError locating information for [SshKeyPair uniqueName=incauserkey publicKey=null fingerPrint=null userName=inca displayName=userkey id=null version=0 lastUpdate=null]
    ","","Failure:errorMessage errorMessage errorMessage""ucsd-sierra","	","eucalyptus-create-publicvm","3235657","3197676","3140368","2011-05-12T07:22:06.000-04:00","Failure","Command 'euca-run-instances  -k userkey -n 1 emi-FF7D1540 -t c1.medium' failed: KeyPairVerify: Failed to find key pair: userkey for user incaError locating information for [SshKeyPair uniqueName=incauserkey publicKey=null fingerPrint=null userName=inca displayName=userkey id=null version=0 lastUpdate=null]
    ","","Failure:errorMessage errorMessage errorMessage"
