resource, targetResource, nickname, instanceId, reportId, configId, collected, exit_status, exit_message, body, comparisonResult"tacc-alamo","	","openstack-storage","7640747","7640746","7640725","2013-03-26T13:31:24.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7657196","7640746","7640725","2013-03-28T16:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7657517","7640746","7640725","2013-03-28T17:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7657841","7640746","7640725","2013-03-28T18:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7658162","7640746","7640725","2013-03-28T19:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7658472","7640746","7640725","2013-03-28T20:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7658792","7640746","7640725","2013-03-28T21:22:02.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7659113","7640746","7640725","2013-03-28T22:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7659427","7640746","7640725","2013-03-28T23:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7659747","7640746","7640725","2013-03-29T00:22:02.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7660075","7640746","7640725","2013-03-29T01:22:02.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7660397","7640746","7640725","2013-03-29T02:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7660713","7640746","7640725","2013-03-29T03:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7661027","7640746","7640725","2013-03-29T04:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7661341","7640746","7640725","2013-03-29T05:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7661657","7640746","7640725","2013-03-29T06:22:01.000-04:00","Success","","search_output","Success"
"tacc-alamo","	","openstack-storage","7661976","7640746","7640725","2013-03-29T07:22:02.000-04:00","Success","","search_output","Success"
